Serial,emg,label
1,1501,0
2,1569,0
3,1552,0
4,1554,0
5,1527,0
6,1571,0
7,1552,0
8,1551,0
9,1527,0
10,1559,0
11,1555,0
12,1543,0
13,1520,0
14,1562,0
15,1560,0
16,1543,0
17,1520,0
18,1545,0
19,1552,0
20,1518,0
21,1515,0
22,1521,0
23,1557,0
24,1525,0
25,1523,0
26,1535,0
27,1574,0
28,1520,0
29,1517,0
30,1546,0
31,1579,0
32,1526,0
33,1548,0
34,1534,0
35,1565,0
36,1515,0
37,1531,0
38,1520,0
39,1568,0
40,1503,0
41,1535,0
42,1514,0
43,1563,0
44,1507,0
45,1552,0
46,1519,0
47,1577,0
48,1520,0
49,1558,0
50,1543,0
51,1584,0
52,1534,0
53,1557,0
54,1506,0
55,1552,0
56,1515,0
57,1559,0
58,1515,0
59,1574,0
60,1533,0
61,1566,0
62,1515,0
63,1567,0
64,1522,0
65,1565,0
66,1511,0
67,1567,0
68,1533,0
69,1551,0
70,1509,0
71,1573,0
72,1551,0
73,1549,0
74,1486,0
75,1533,0
76,1507,0
77,1513,0
78,1472,0
79,1521,0
80,1511,0
81,1526,0
82,1488,0
83,1529,0
84,1520,0
85,1530,0
86,1511,0
87,1550,0
88,1547,0
89,1514,0
90,1479,0
91,1529,0
92,1549,0
93,1517,0
94,1519,0
95,1550,0
96,1553,0
97,1519,0
98,1498,0
99,1523,0
100,1552,0
101,1488,0
102,1495,0
103,1513,0
104,1558,0
105,1500,0
106,1515,0
107,1552,0
108,1574,0
109,1508,0
110,1521,0
111,1526,0
112,1574,0
113,1527,0
114,1545,0
115,1531,0
116,1559,0
117,1491,0
118,1535,0
119,1551,0
120,1590,0
121,1513,0
122,1552,0
123,1513,0
124,1559,0
125,1506,0
126,1535,0
127,1505,0
128,1554,0
129,1514,0
130,1546,0
131,1504,0
132,1573,0
133,1521,0
134,1565,0
135,1515,0
136,1557,0
137,1497,0
138,1524,0
139,1501,0
140,1551,0
141,1518,0
142,1545,0
143,1515,0
144,1579,0
145,1533,0
146,1552,0
147,1497,0
148,1589,0
149,1559,0
150,1544,0
151,1508,0
152,1568,0
153,1568,0
154,1571,0
155,1506,0
156,1555,0
157,1563,0
158,1554,0
159,1517,0
160,1566,1
161,1555,1
162,1637,1
163,1600,1
164,1626,1
165,1641,1
166,1685,1
167,1778,1
168,1853,1
169,1898,1
170,1806,1
171,1835,1
172,2037,1
173,2146,1
174,2008,1
175,1919,1
176,2021,1
177,2096,1
178,2229,1
179,2190,1
180,2267,1
181,2160,1
182,2291,1
183,2453,1
184,2550,1
185,2571,1
186,2568,1
187,2450,1
188,2559,1
189,2399,1
190,2681,1
191,2576,1
192,2598,1
193,2859,1
194,3147,1
195,2879,1
196,2608,1
197,2425,1
198,2306,1
199,2207,1
200,2173,1
201,2074,1
202,1968,1
203,1951,1
204,1834,1
205,1780,1
206,1775,1
207,1839,1
208,1758,1
209,1823,1
210,1767,1
211,1767,1
212,1707,1
213,1713,1
214,1701,1
215,1723,1
216,1689,1
217,1690,1
218,1631,1
219,1631,1
220,1584,1
221,1664,1
222,1641,1
223,1643,1
224,1589,1
225,1613,1
226,1614,1
227,1601,1
228,1565,1
229,1600,1
230,1593,0
231,1575,0
232,1552,0
233,1584,0
234,1591,0
235,1552,0
236,1557,0
237,1567,0
238,1547,0
239,1541,0
240,1552,1
241,1590,1
242,1621,1
243,1648,1
244,1632,1
245,1649,1
246,1770,1
247,1892,1
248,1939,1
249,2107,1
250,2123,1
251,2034,1
252,1963,1
253,2009,1
254,1985,1
255,2019,1
256,2041,1
257,2119,1
258,2243,1
259,2253,1
260,2343,1
261,2287,1
262,2334,1
263,2324,1
264,2244,1
265,2253,1
266,2240,1
267,2227,1
268,2262,1
269,2174,1
270,2295,1
271,2815,1
272,2851,1
273,3055,1
274,2903,1
275,2851,1
276,2786,1
277,2702,1
278,2521,1
279,2305,1
280,2265,1
281,2116,1
282,2085,1
283,2035,1
284,1962,1
285,1897,1
286,1887,1
287,1806,1
288,1828,1
289,1794,1
290,1794,1
291,1776,1
292,1771,1
293,1695,1
294,1712,1
295,1651,1
296,1677,1
297,1694,1
298,1695,1
299,1601,1
300,1616,1
301,1643,1
302,1648,1
303,1577,1
304,1622,1
305,1596,1
306,1605,1
307,1663,1
308,1627,1
309,1593,1
310,1618,1
311,1601,0
312,1578,0
313,1552,0
314,1590,0
315,1645,0
316,1609,0
317,1610,0
318,1589,0
319,1611,0
320,1575,0
321,1593,0
322,1616,0
323,1643,0
324,1587,0
325,1567,0
326,1567,0
327,1605,0
328,1548,0
329,1602,1
330,1597,1
331,1614,1
332,1551,1
333,1520,1
334,1519,1
335,1683,1
336,1645,1
337,1634,1
338,1614,1
339,1645,1
340,1627,1
341,1642,1
342,1611,1
343,1647,1
344,1641,1
345,1765,1
346,1799,1
347,1919,1
348,1937,1
349,1918,1
350,1904,1
351,1943,1
352,2026,1
353,2087,1
354,1965,1
355,1955,1
356,2097,1
357,2230,1
358,2466,1
359,3225,1
360,3169,1
361,3041,1
362,3087,1
363,3372,1
364,3213,1
365,3277,1
366,3138,1
367,3170,1
368,2915,1
369,2843,1
370,2726,1
371,2737,1
372,2449,1
373,2365,1
374,2163,1
375,2158,1
376,2042,1
377,2032,1
378,1920,1
379,1999,1
380,1962,1
381,1851,1
382,1797,1
383,1914,1
384,1872,1
385,1842,1
386,1855,1
387,1743,1
388,1754,1
389,1715,1
390,1755,1
391,1823,1
392,1767,1
393,1692,1
394,1631,1
395,1658,1
396,1627,1
397,1664,1
398,1633,1
399,1607,1
400,1682,0
401,1629,0
402,1654,0
403,1630,0
404,1660,0
405,1591,0
406,1590,0
407,1622,0
408,1629,0
409,1569,0
410,1584,0
411,1575,0
412,1619,0
413,1535,0
414,1557,0
415,1551,0
416,1597,0
417,1519,0
418,1533,0
419,1521,0
420,1552,0
421,1489,0
422,1532,0
423,1509,0
424,1535,0
425,1489,0
426,1535,0
427,1499,0
428,1535,0
429,1472,0
430,1510,0
431,1470,0
432,1518,0
433,1482,0
434,1517,0
435,1476,0
436,1531,0
437,1505,0
438,1550,0
439,1488,0
440,1614,0
441,1564,0
442,1598,0
443,1562,0
444,1658,0
445,1651,0
446,1727,0
447,1703,0
448,1711,0
449,1616,0
450,1609,0
451,1605,0
452,1787,0
453,1872,0
454,1970,0
455,1973,0
456,1922,0
457,2112,0
458,2108,0
459,2091,0
460,2022,0
461,2015,0
462,2111,0
463,2113,0
464,2309,0
465,2324,0
466,2430,0
467,2212,0
468,2320,0
469,2212,0
470,2131,0
471,2027,0
472,1965,0
473,1939,0
474,1881,0
475,1911,0
476,1883,0
477,1891,0
478,1813,0
479,1744,0
480,1791,0
481,1843,0
482,1767,0
483,1767,0
484,1776,0
485,1777,0
486,1709,0
487,1719,0
488,1678,0
489,1681,0
490,1602,0
491,1587,0
492,1557,0
493,1625,0
494,1595,0
495,1658,0
496,1664,0
497,1694,0
498,1637,0
499,1713,0
500,1651,0
501,1611,0
502,1589,0
503,1634,0
504,1584,0
505,1609,0
506,1571,0
507,1617,0
508,1594,0
509,1621,0
510,1585,0
511,1611,0
512,1546,0
513,1614,0
514,1570,0
515,1598,0
516,1568,0
517,1585,0
518,1530,0
519,1558,0
520,1503,0
521,1543,0
522,1534,0
523,1522,0
524,1486,0
525,1535,0
526,1519,0
527,1557,0
528,1501,0
529,1597,0
530,1611,1
531,1622,1
532,1603,1
533,1634,1
534,1582,1
535,1534,1
536,1510,1
537,1597,1
538,1591,1
539,1645,1
540,1707,1
541,1700,1
542,1785,1
543,1681,1
544,1684,1
545,1682,1
546,1664,1
547,1682,1
548,1739,1
549,1845,1
550,1822,1
551,1957,1
552,1953,1
553,1979,1
554,1968,1
555,1920,1
556,2143,1
557,2241,1
558,2293,1
559,2302,1
560,2287,1
561,2257,1
562,2406,1
563,2441,1
564,2497,1
565,2489,1
566,2766,1
567,2737,1
568,2810,1
569,2800,1
570,2803,1
571,2640,1
572,2671,1
573,2475,1
574,2743,1
575,2623,1
576,2558,1
577,2380,1
578,2279,1
579,2134,1
580,2025,1
581,1915,1
582,1884,1
583,1776,1
584,1787,1
585,1712,1
586,1712,1
587,1647,1
588,1685,1
589,1667,1
590,1709,1
591,1725,1
592,1716,1
593,1703,1
594,1726,1
595,1683,1
596,1659,1
597,1643,1
598,1698,1
599,1680,1
600,1658,1
601,1658,0
602,1679,0
603,1696,0
604,1686,0
605,1631,0
606,1707,0
607,1665,0
608,1640,0
609,1633,0
610,1642,0
611,1666,0
612,1616,0
613,1585,0
614,1593,0
615,1615,0
616,1594,0
617,1600,0
618,1554,0
619,1578,0
620,1515,0
621,1523,0
622,1513,0
623,1535,0
624,1500,0
625,1499,0
626,1515,0
627,1566,0
628,1488,0
629,1510,0
630,1498,0
631,1531,0
632,1479,0
633,1506,0
634,1497,0
635,1522,0
636,1472,0
637,1521,0
638,1489,0
639,1543,0
640,1485,0
641,1502,0
