serial,fsr,emg
0,0,1273
1,0,1294
2,0,1275
3,0,1264
4,0,1301
5,0,1291
6,0,1269
7,0,1286
8,0,1275
9,0,1311
10,0,1264
11,0,1277
12,0,1265
13,0,1273
14,0,1325
15,0,1296
16,0,1271
17,0,1262
18,0,1293
19,0,1264
20,0,1279
21,0,1249
22,0,1277
23,0,1295
24,0,1321
25,0,1280
26,0,1289
27,0,1285
28,0,1284
29,0,1271
30,0,1269
31,0,1265
32,0,1293
33,0,1271
34,0,1280
35,0,1293
36,0,1280
37,0,1270
38,0,1291
39,0,1324
40,0,1315
41,0,1281
42,0,1295
43,0,1341
44,0,1308
45,0,1324
46,0,1306
47,0,1347
48,0,1321
49,0,1290
50,0,1290
51,0,1293
52,0,1339
53,0,1351
54,0,1329
55,0,1327
56,0,1330
57,0,1310
58,0,1287
59,0,1335
60,0,1296
61,0,1284
62,0,1265
63,0,1287
64,0,1303
65,0,1309
66,0,1312
67,0,1334
68,0,1325
69,0,1291
70,0,1301
71,0,1286
72,0,1333
73,0,1324
74,0,1296
75,0,1305
76,0,1316
77,0,1310
78,0,1312
79,0,1296
80,0,1285
81,0,1327
82,0,1331
83,0,1303
84,0,1309
85,0,1306
86,0,1319
87,0,1338
88,0,1360
89,0,1319
90,0,1311
91,0,1317
92,0,1328
93,0,1328
94,0,1299
95,0,1303
96,0,1295
97,0,1264
98,0,1264
99,0,1242
100,0,1246
101,0,1260
102,0,1255
103,0,1262
104,0,1309
105,0,1332
106,0,1351
107,0,1327
108,0,1360
109,0,1388
110,0,1421
111,0,1407
112,0,1458
113,0,1454
114,0,1509
115,0,1519
116,0,1543
117,0,1511
118,0,1456
119,0,1457
120,0,1479
121,0,1495
122,0,1489
123,0,1535
124,0,1583
125,0,1579
126,0,1523
127,0,1519
128,0,1490
129,0,1785
130,0,1837
131,0,1776
132,0,1685
133,0,1754
134,0,1726
135,0,1614
136,0,1550
137,0,1581
138,0,1637
139,0,1743
140,0,1766
141,0,1792
142,0,1898
143,0,2127
144,0,2253
145,0,2209
146,0,2110
147,0,2160
148,0,2041
149,0,2095
150,0,2155
151,0,2142
152,0,2043
153,0,2035
154,0,2001
155,0,1947
156,0,1896
157,0,1908
158,0,1903
159,0,2036
160,0,1872
161,0,1895
162,0,1968
163,0,1936
164,0,1973
165,0,1972
166,0,1893
167,0,1868
168,0,2029
169,0,2009
170,0,1971
171,0,1856
172,0,1805
173,0,1911
174,0,1933
175,0,2042
176,0,2060
177,0,2032
178,0,1993
179,0,1925
180,0,2069
181,0,1914
182,0,1937
183,0,2064
184,0,2145
185,0,2251
186,0,2094
187,0,1905
188,0,1984
189,0,1958
190,0,2034
191,0,1922
192,0,1857
193,0,1805
194,0,1778
195,0,1843
196,0,1933
197,0,1990
198,0,2091
199,0,2037
200,0,2067
201,0,1952
202,0,1951
203,0,2015
204,0,2032
205,0,1945
206,0,2010
207,0,2032
208,0,1915
209,0,1990
210,0,1926
211,0,1891
212,0,1853
213,0,1789
214,0,1787
215,0,1923
216,0,2032
217,0,2092
218,0,2019
219,0,2039
220,0,1911
221,0,1913
222,0,1907
223,0,1935
224,0,1835
225,0,1780
226,0,1883
227,0,1895
228,0,1970
229,0,2010
230,0,1930
231,0,1844
232,0,1765
233,0,1788
234,0,1878
235,0,1979
236,0,1920
237,0,1945
238,0,1961
239,0,1877
240,0,1862
241,0,1767
242,0,1703
243,0,1852
244,0,1727
245,0,1748
246,0,1742
247,0,1695
248,0,1646
249,0,1760
250,0,1863
251,0,1822
252,0,1758
253,0,1840
254,0,1884
255,0,1825
256,0,1910
257,0,1776
258,0,1959
259,0,2121
260,0,1989
261,0,2145
262,0,2073
263,0,2183
264,0,2019
265,0,1903
266,0,1891
267,0,1879
268,0,1938
269,0,1846
270,0,1758
271,0,1715
272,0,1680
273,0,1703
274,0,1839
275,0,1807
276,0,1744
277,0,1808
278,0,1792
279,0,1981
280,0,1983
281,0,1854
282,0,1798
283,0,1843
284,0,1749
285,0,1659
286,0,1615
287,0,1678
288,0,1696
289,0,1888
290,0,1869
291,0,1786
292,0,1791
293,0,1846
294,0,1818
295,0,1763
296,0,1648
297,0,1655
298,0,1762
299,0,1741
300,0,1717
301,0,1707
302,0,1675
303,0,1635
304,0,1648
305,0,1707
306,0,1650
307,0,1717
308,0,1646
309,0,1711
310,0,1829
311,0,1762
312,0,1706
313,0,1661
314,0,1633
315,0,1714
316,0,1691
317,0,1622
318,0,1575
319,0,1565
320,0,1517
321,0,1483
322,0,1483
323,0,1438
324,0,1532
325,0,1530
326,0,1542
327,0,1487
328,0,1498
329,0,1586
330,0,1489
331,0,1472
332,0,1584
333,0,1534
334,0,1523
335,0,1495
336,0,1458
337,0,1437
338,0,1475
339,0,1487
340,0,1483
341,0,1522
342,0,1563
343,0,1494
344,0,1502
345,0,1559
346,0,1499
347,0,1483
348,0,1462
349,0,1437
350,0,1484
351,0,1433
352,0,1491
353,0,1469
354,0,1499
355,0,1472
356,0,1443
357,0,1473
358,0,1503
359,0,1554
360,0,1551
361,0,1488
362,0,1517
363,0,1479
364,0,1452
365,0,1450
366,0,1464
367,0,1471
368,0,1479
369,0,1493
370,0,1417
371,0,1415
372,0,1412
373,0,1409
374,0,1409
375,0,1423
376,0,1392
377,0,1405
378,0,1393
379,0,1419
380,0,1399
381,0,1447
382,0,1427
383,0,1454
384,0,1439
385,0,1466
386,0,1440
387,0,1518
388,0,1471
389,0,1479
390,0,1442
391,0,1477
392,0,1475
393,0,1489
394,0,1503
395,0,1498
396,0,1495
397,0,1479
398,0,1501
399,0,1486
400,0,1517
401,0,1509
402,0,1480
403,0,1543
404,0,1547
405,0,1508
406,0,1473
407,0,1501
408,0,1611
409,0,1543
410,0,1623
411,0,1565
412,0,1597
413,0,1552
414,0,1519
415,0,1471
416,0,1469
417,0,1493
418,0,1550
419,0,1488
420,0,1465
421,0,1485
422,0,1437
423,0,1424
424,0,1438
425,0,1401
426,0,1391
427,0,1431
428,0,1475
429,0,1444
430,0,1425
431,0,1403
432,0,1447
433,0,1450
434,0,1438
435,0,1461
